OBJECTID,Traffic zone number,traffic zone number.1,Area,Multi traffic area,on a traffic zone,In Jerusalem,religion,Traffic zone name,metropolis,Scope,district,Authority,Total housing units until 2020,Additional units 2020-2025,Additional units 2025-2030,Additional units 2030-2035,Additional units 2035-2040,Total housing units until 2025,Total housing units until 2030,Total housing units until 2035,Total housing units until 2040,Gm_b average 2020,Gm_b average 2025,Gm_b average 2030,Gm_b average 2035,Gm_b average 2040,2020 population projections,Population projections 2025,Population projections 2030,Population projections 2035,Population projections 2040,Total students 2020,Total students 2025,Total students 2030,Total students 2035,Total students 2040,Employed in education from students 2015,Employed in education from students 2020,Employed in education from students 2025,Employed in education from 2030 students,2035 students are employed in education,Employed in education from 2040 students,Jobs in industry in 2040,Jobs in commerce and hotels in 2040,Office jobs in 2040,Jobs in public services in 2040,Jobs in education in 2040,Jobs in agriculture in 2040,Total employed 2020,A total of 2025 employees,Total employed 2030,Total employed 2035,Total employed 2040,Total Yeshiva students and include 2015,Total Yeshiva students and include 2020,Total yeshiva students including 2025,Total yeshiva students including 2030,Total yeshiva students and kollel 2035,Total yeshiva students including 2040,Higher education students 2015,Higher education students 2020,Higher education students 2025,Higher education students 2030,Higher education students 2035,Higher education students 2040,Last update date of the traffic area data,GlobalID,Shape__Area,Shape__Length
11,5104,5104,51,51,5,yes,U. Orthodox,Sanhedria,yes,1924.70749944,jerusalem,Jerusalem,917.460570302297,26.0,20.5,20.5,71.5,943.460570302297,963.960570302297,984.460570302297,1055.9605703023,6.30620552881739,6.39072953766106,6.44891041006989,6.47398078747222,6.27515832803032,5785.69492091231,6029.40133424944,6216.49535671939,6373.37881816102,6626.31976680411,496.689418316128,558.015697242944,549.028687165981,548.349547053427,557.135350372424,,41.3907848596773,46.5013081035787,45.752390597165,45.6957955877856,46.4279458643686,0.0,322.925652287564,102.973087788478,213.384774710022,179.033507911413,0.0,488.719580164577,565.837911084048,582.517193334231,598.231522710065,818.317022697477,1012.0,917.460570302297,1409.90859149315,1397.84297916312,1430.02014209599,1459.45623147694,,,,,,,,68657d94-87b5-4acb-9c9d-d274e3bad28c,177444.152511597,1924.70749944413
12,5211,5211,52,52,5,yes,U. Orthodox,Ezerat Torah,yes,2206.94652772,jerusalem,Jerusalem,466.742857142854,7.59,15.99,45.99,7.59,474.332857142854,490.322857142854,536.312857142854,543.902857142854,6.64177277179241,6.26078453928452,5.88522456064226,5.57775978953762,5.38698328935799,3100.0,2969.69581847463,2885.66012150141,2991.42428918345,2929.99560246262,1793.0,1712.11080467042,1669.02857995227,1702.73769857331,1667.77210006841,,149.416666666667,142.675900389202,139.085714996022,141.894808214442,138.981008339034,0.0,153.00112308671,51.0003743622366,102.000748724473,204.001497448947,0.0,478.792676867909,486.581752106969,494.355616596434,503.250370988655,510.003743622366,982.0,466.742857142854,1185.40455924305,1179.853257805,1218.724860106,1226.37266308,,,,,,,,6db7f23b-9e58-41fb-998b-58017063daf3,148597.853790283,2206.94652771803
13,5213,5213,52,52,5,yes,U. Orthodox,Chav_d housing,yes,1844.22879795,jerusalem,Jerusalem,793.735045517323,37.29,7.59,7.59,53.49,831.025045517323,838.615045517323,846.205045517323,899.695045517323,5.58748082161928,5.67973618964952,5.80194597926898,5.87133548409477,5.78140645231795,4434.97934427515,4720.00302552988,4865.59919149371,4968.35371056589,5201.50274127234,1595.81953368498,1778.21224335145,1947.52191708054,2119.6023297025,2333.65447188138,,132.984961140415,148.184353612621,162.293493090045,176.633527475208,194.471205990115,0.0,52.6207462804575,94.8180273257199,57.8657452764653,329.200187469199,0.0,473.184808443965,501.635719986979,510.570499268396,514.072849382809,534.504706351842,513.0,793.735045517323,849.490909326542,824.097536607541,863.679074059166,893.084563585987,,,,,,,,922ef6ff-bd22-4452-bb12-e65dd67edd91,119600.196243286,1844.22879795878
14,5103,5103,51,51,5,yes,U. Orthodox,Samuel the Prophet,yes,1517.89003963,jerusalem,Jerusalem,874.75,27.375,27.375,49.775,27.375,902.125,929.5,979.275,1006.65,5.167794348592,5.31688551486336,5.36691841114992,5.3645880719903,5.33464945884208,4520.52810643085,4796.49534509611,4988.55066316385,5253.4069841983,5370.12487774338,286.001222537708,378.292468100503,473.278942797552,584.214271476304,686.173279240376,,23.8334352114756,31.5243723417086,39.439911899796,48.6845226230253,57.1811066033646,19.1136833168126,13.23255006694,38.2273669732606,129.384933874646,172.079868844914,0.0,340.677823319167,354.122362388615,360.006122840754,366.745963101867,372.038403076573,37.0,874.75,386.348613074,391.598692059322,396.40505452333,396.663536037466,,,,,,,,a400bc99-768c-43f2-ab03-fafafbf9a41f,109020.305206299,1517.89003962857
15,113,113,1,1,0,yes,U. Orthodox,The beer cedars,yes,2129.12971959,jerusalem,Jerusalem,596.666666666675,5.0,3.0,3.0,33.0,601.666666666675,604.666666666675,607.666666666675,640.666666666675,4.50286779499118,4.58745638575256,4.70384437166718,4.77533434325666,4.74692997800763,2686.71111767811,2760.1195920945,2844.25789673479,2901.81150258567,3041.19980591026,2573.0,2594.56145251397,2607.49832402235,2620.43519553073,2630.48191489362,,214.416666666667,216.213454376164,217.291527001862,218.36959962756,219.206826241135,0.0,77.9706203404334,103.960827120578,77.9706203404334,259.902067801445,0.0,481.01305244296,490.126936053893,500.403460029318,509.187163648808,519.804135602889,441.0,596.666666666675,620.875666616121,630.040344751048,646.148751244933,663.818110090104,,,,,,,,69e6f3d4-e2dd-4a5c-8d02-700f3d179e79,141497.5728302,2129.12971958651
16,5505,5505,55,55,5,yes,U. Orthodox,Mount Nof - Northwest,yes,3038.20443292,jerusalem,Jerusalem,795.65653333334,5.0,5.0,5.0,36.2,800.65653333334,805.65653333334,810.65653333334,846.85653333334,4.08844754453509,4.10163392575823,4.12706887169781,4.12875226729804,4.06680454650796,3253.0,3284.0,3325.0,3347.0,3444.0,227.111173798124,237.231234761888,240.7566153083,233.802843627868,242.597714649024,,18.9259311498437,19.7692695634907,20.0630512756917,19.4835703023223,20.216476220752,0.0,65.1937664439302,114.089091276878,48.8953248329477,106.415070024683,0.0,308.920918527384,315.292084181317,321.895799291758,326.798678013873,334.593252578438,455.0,795.65653333334,680.54480134527,680.71359207425,712.212708321797,716.67677751971,,,,,,,,a99dd916-6743-4307-9db5-9cad0c34ce79,350179.102584839,3038.20443291978
17,5305,5305,53,53,5,yes,U. Orthodox,Givat Shaul West,yes,2026.02068227,jerusalem,Jerusalem,1322.32226742218,341.0,130.5,187.8,51.4,1663.32226742218,1793.82226742218,1981.62226742218,2033.02226742218,4.80896386354943,4.81709234519979,4.89538353235795,4.95512480523591,5.12004662776522,6359.0,8012.37696199974,8781.44798791553,9819.18565191146,10409.1688044865,2227.59918677403,2591.52868371126,2720.29028116334,3023.72787638729,3179.11732185514,,185.633265564503,215.960723642605,226.690856763611,251.977323032274,264.926443487928,110.266568409147,330.799705227441,330.799705227441,110.266568409147,269.907424337955,0.0,831.786231356204,975.974922128407,1033.65788548079,1107.75373868245,1152.03997161113,430.0,1322.32226742218,893.574599305455,910.09358163297,991.347331569003,1017.74002250019,,,,,,,2021-09-05,e73ac238-d969-4979-a00d-8591153d56d5,192245.053482056,2026.02068226449
18,102,102,1,1,0,yes,U. Orthodox,House of Israel,yes,1725.76782851,jerusalem,Jerusalem,1000.9,219.25,51.1,37.0,74.5,1220.15,1271.25,1308.25,1382.75,6.54792939351459,6.40943293967611,6.48623659723964,6.56534802039639,6.46787508564354,6553.82252996875,7820.46960134581,8245.62827424089,8589.11654768358,8943.4542746736,2123.32194164757,2471.93959875104,2715.89835558788,2964.33957510244,3207.98185347294,,176.943495137298,205.994966562587,226.324862965657,247.028297925204,267.331821122745,108.77878484295,206.217243405345,133.138399483549,151.980561408052,732.655818961816,0.0,972.665654901138,1130.14041373213,1192.92321508252,1263.3509640755,1332.77080810171,7118.0,1000.9,7662.83618316801,7667.71676681854,7708.01897599323,7720.61751389001,,,,,,,,4c0c6e77-be27-40bf-b6c8-7eb5d6871897,147701.704940796,1725.76782851157
19,101,101,1,1,0,yes,U. Orthodox,Redemption East,yes,1188.99458161,jerusalem,Jerusalem,788.750000000006,55.45,25.0,25.0,31.0,844.200000000006,869.200000000006,894.200000000006,925.200000000006,4.68726352326113,4.87091973164169,4.97282803676131,4.98940852014175,4.93364362772737,3697.07910397224,4112.03043745194,4322.38212955296,4461.52909871078,4564.60708437339,1446.43880583567,1647.72392412921,1659.835646832,1671.43467388273,1681.91548608773,,120.536567152972,137.310327010767,138.319637236,139.28622282356,140.159623840644,0.0,194.367455612752,181.32847266555,59.614134978546,257.265030243831,0.0,522.377602987898,567.275382150717,606.210904366913,650.469056859162,692.575093500679,1903.0,788.750000000006,2189.48697917689,2215.70421678633,2221.42982889649,2216.42918755201,,,,,,,,10d18bba-a5b9-44d7-af09-8786a671c441,65323.1938323975,1188.99458161137
20,903,903,9,9,0,yes,U. Orthodox,Baruch West source,yes,1502.99039096,jerusalem,Jerusalem,862.615384615391,66.6,27.0,33.0,33.0,929.215384615391,956.215384615391,989.215384615391,1022.21538461539,3.91236462235682,4.00110262682454,4.05404633228127,4.07660767831321,4.06947382071797,3374.86591346998,3717.88611627042,3876.54147287094,4032.64303242866,4159.87874682748,3228.17716535433,3376.20504559602,3401.85948778271,3424.06195703064,3445.09486906751,,269.014763779527,281.350420466335,283.488290648559,285.33849641922,287.09123908896,0.0,749.982327753665,1136.46193348502,594.529016813253,346.444734279069,0.0,2706.58658154371,2738.41822159522,2770.72854115139,2800.60599146235,2827.41801233101,973.0,862.615384615391,1212.68843060101,1226.10345997693,1236.66212046749,1241.01894892458,,,,,,,,0beafaaf-319b-4152-957d-e722eadc3982,123213.908966064,1502.99039095911
21,5302,5302,53,53,5,yes,U. Orthodox,Givat Shaul Mizrah,yes,1448.13062955,jerusalem,Jerusalem,792.4,37.8,17.4,14.4,14.4,830.2,847.6,862.0,876.4,4.55885074878008,4.62014543050735,4.66711154250586,4.69679624771444,4.69910121141071,3612.43333333333,3835.64473640721,3955.84374342797,4048.63836552985,4118.29230168034,1175.5108497964,1295.53769831674,1380.64861546019,1465.83521356784,1550.96523306896,,97.9592374830333,107.961474859728,115.054051288349,122.152934463986,129.247102755747,0.0,84.422324281209,126.633486421814,182.242584652088,536.946277380913,0.0,818.275236905308,835.980739513802,847.126714920276,864.15308037723,930.244672736023,1014.0,792.4,1289.67975309122,1321.23566140601,1319.86868675017,1302.57899222479,,,,,,,,32a84d11-55ce-4ceb-80dd-f0a11f6fde7c,125264.809661865,1448.13062954639
22,111,111,1,1,0,yes,U. Orthodox,Shabbat Square,yes,1147.1332359,jerusalem,Jerusalem,416.0,32.0,21.4,36.1,16.0,448.0,469.4,505.5,521.5,6.25865017231477,6.43573591123498,6.54055033636645,6.50738313680551,6.55619884939649,2603.59847168295,2883.20968823327,3070.13432789041,3289.48217565518,3419.05769996027,1712.70243902439,1822.2265060241,1862.59332393042,1894.08213096559,1932.58397365532,,142.725203252033,151.852208835341,155.216110327535,157.840177580466,161.048664471277,0.0,650.304352716715,195.091305815014,143.956455393185,325.152176358357,0.0,1234.96001151619,1251.69358476968,1269.69042277538,1300.60610133053,1314.50429028327,797.0,416.0,989.734096238316,993.289058716488,1014.34942847513,1012.38087485041,,,,,,,,c5a78f5b-654f-4f4b-80c8-6a15e47af7ba,60082.03565979,1147.13323589741
23,1206,1206,12,12,1,yes,Arab,A Savannah,yes,4023.67169468,jerusalem,Jerusalem,1022.18724207802,75.8165033128335,76.0165033128335,68.8165033128335,68.8165033128335,1098.00374539085,1174.02024870368,1242.83675201652,1311.65325532935,3.92601762498102,3.93644737829279,3.94552046914917,3.95275580197893,3.95921600316886,4013.12512842903,4322.23396489948,4632.12092245598,4912.63018244593,5193.1185591085,2638.65,2770.5825,2909.111625,3054.56720625,3207.2955665625,,,,,,,0.0,196.51985935657,241.908877528358,656.080426273192,458.546338498664,0.0,1281.2630299071,1441.43216487659,1510.69640320277,1532.45486450843,1553.05550165678,0.0,1022.18724207802,0.0,0.0,0.0,0.0,,,,,,,2021-09-05,a7b5c412-81f0-4796-890d-83c9a0a204fd,829964.03565979,4023.6716946804
24,110,110,1,1,0,yes,U. Orthodox,Zichron Moshe North,yes,1219.05574863,jerusalem,Jerusalem,432.0,36.0,22.0,22.0,28.0,468.0,490.0,512.0,540.0,5.02408718222283,5.16126471699427,5.26052703314695,5.29365091921608,5.24662958496592,2170.40566272026,2415.47188755332,2577.65824624201,2710.34927063864,2833.17997588159,1470.26086956522,1526.41666666667,1534.24444444444,1541.47008547009,1546.46341463415,,122.521739130435,127.201388888889,127.853703703704,128.45584045584,128.871951219512,0.0,365.532461344793,258.346050662713,69.0191291849459,236.53082491449,0.0,751.25857393662,786.87678885796,836.039232047266,883.325922355657,929.428466106942,560.0,432.0,712.128025621985,730.330615723174,742.991079980125,748.970073739469,,,,,,,,97281f84-fb02-4252-9928-4c2a30168064,67696.0598754883,1219.05574862611
25,902,902,9,9,0,yes,U. Orthodox,Baruch South source,yes,1312.25379773,jerusalem,Jerusalem,519.90881118881,66.0,54.4,14.8,4.0,585.90881118881,640.30881118881,655.10881118881,659.10881118881,3.66854289811666,3.74908747311945,3.79283999913646,3.80904638710357,3.79009289364675,1907.30777695499,2196.62338441828,2428.58887087644,2495.33985041845,2498.08362142667,262.525762212218,316.502154583892,324.218670553058,323.603510168794,319.556493986989,,21.8771468510182,26.3751795486576,27.0182225460882,26.9669591807328,26.6297078322491,0.0,425.608167034649,477.873941949042,289.935072483461,205.297301196514,0.0,1289.03107021503,1349.41491086381,1370.58180611329,1386.3171932869,1398.71448266367,522.0,519.90881118881,664.407846125946,683.061671401666,693.147439508895,688.328508692557,,,,,,,,5c7edd19-c451-4cec-9819-499e8e89e1aa,63822.4829559326,1312.25379773652
26,808,808,8,8,0,yes,Jewish,Memory of Yosef,yes,1304.24141894,jerusalem,Jerusalem,813.319047619039,24.5,24.5,24.5,24.5,837.819047619039,862.319047619039,886.819047619039,911.319047619039,2.01713551017541,1.96900342431373,1.92332064462921,1.87738570617086,1.83860052797111,1640.57473205441,1649.66857371716,1658.51602654269,1664.90140396004,1675.55168210249,255.861190802583,257.59784306711,259.257555457109,260.845330229006,262.365745207542,,21.3217659002153,21.4664869222592,21.6047962880924,21.7371108524172,21.8638121006285,0.0,83.1737492190069,118.522592751865,76.9357181423612,0.0,0.0,262.336517828324,266.432426616779,270.861466123428,274.853042047329,278.632060113233,633.0,813.319047619039,633.0,633.0,633.0,633.0,,,,,,,,778ae6ef-14aa-44fd-8d38-11023f4e8234,76118.1984558105,1304.24141894402
27,5502,5502,55,55,5,yes,U. Orthodox,Mount Nof - South,yes,2892.43373861,jerusalem,Jerusalem,801.455826086967,54.9,0.0,0.0,0.0,856.355826086967,856.355826086967,856.355826086967,856.355826086967,5.60004887332733,5.39078865983913,5.37998693913245,5.39981183682966,5.39132925135125,4488.19179589994,4616.43327605679,4607.18315959787,4624.16032624245,4616.89621474773,1060.91102174775,1187.88058044492,1166.59685792055,1136.33675775744,1123.12660630792,,88.4092518123126,98.99004837041,97.2164048267126,94.6947298131197,93.593883858993,0.0,31.2904043703263,62.5808087406525,31.2904043703263,519.260066713928,0.0,599.347588597804,621.002268462115,629.378186746031,637.09529246383,644.421684195233,384.0,801.455826086967,721.428656651568,681.589938367225,716.501178593279,721.811751074848,,,,,,,,ba56222b-4572-45b1-b8e2-6f77d5e7e906,194944.439216614,2892.433738619
28,5504,5504,55,55,5,yes,U. Orthodox,Mount Nof - Southwest,yes,2897.37696546,jerusalem,Jerusalem,649.5,9.75,9.75,9.75,9.75,659.25,669.0,678.75,688.5,3.39013550462513,3.26284423845773,3.15455475284432,3.00086499245914,2.81239542522579,2201.89301025402,2151.03006420326,2110.39712965285,2036.83711363164,1936.33425026796,1513.0,1513.0,1513.0,1513.0,1513.0,,126.083333333333,126.083333333333,126.083333333333,126.083333333333,126.083333333333,0.0,21.1146441696693,42.2292883393386,84.1816981158242,316.71966254504,0.0,406.516841635985,411.467778708676,457.231363202148,461.419816066731,464.245293169872,563.0,649.5,707.035755843624,708.743512947323,718.237202892566,711.153503062562,,,,,,,,346cb3e1-1d93-4a63-a8d0-6c15447072c5,273882.128456116,2897.37696545457
29,1201,1201,12,12,1,yes,Arab,A column,yes,4321.24266159,jerusalem,Jerusalem,3239.18687226491,98.050231854801,78.650231854801,237.650231854801,260.650231854801,3337.23710411971,3415.88733597451,3653.53756782931,3914.18779968411,4.07419868171253,4.07419868171253,4.07419868171253,4.07419868171253,4.07419868171253,13197.0908848022,13596.5670101667,13917.0036811059,14885.2379424374,15947.1787734483,2873.29914396291,3184.59828792583,3495.89743188874,3807.19657585166,4118.49571981457,,,,,,,65.8658405256095,317.98251565305,344.328851863294,598.54937514721,601.273416810837,0.0,937.514321872361,1012.13785635541,1534.0,1740.0,1928.0,0.0,3239.18687226491,0.0,0.0,0.0,0.0,,,,,,,2021-09-05,98df06d9-8664-4ae5-9041-e3b1d3e76344,1023582.37976074,4321.24266159118
30,801,801,8,8,0,yes,Jewish,Nachelat Zion,yes,1086.29955726,jerusalem,Jerusalem,848.0,37.9,23.5,23.5,23.5,885.9,909.4,932.9,956.4,1.62928796850177,1.59654829867006,1.55190744756247,1.51006336104787,1.47511989175427,1381.6361972895,1414.38213779181,1411.30463281331,1408.73810952156,1410.80466447379,345.409049322376,355.232831473067,354.309579979517,353.539622991992,354.15958947766,,28.7840874435313,29.6027359560889,29.5257983316264,29.4616352493327,29.5132991231384,0.0,89.706972731655,125.589761824317,53.824183638993,32.4646290354522,0.0,338.532137339344,344.379080554429,349.59270672234,354.360549184359,301.585547230417,218.0,848.0,218.0,218.0,218.0,218.0,,,,,,,2021-10-26,08296d48-ab83-40d6-b279-d7ed3ef670d8,62885.1126861572,1086.2995572637
